move,accuracy
0,0.01689059500959693
1,0.10134357005758157
2,0.07044145873320537
3,0.06967370441458733
4,0.0783109404990403
5,0.06756238003838771
6,0.06641074856046066
7,0.06602687140115163
8,0.06506717850287908
9,0.06641074856046066
10,0.06238003838771593
11,0.05911708253358925
12,0.0581573896353167
13,0.059309021113243765
14,0.0600767754318618
15,0.06065259117082534
16,0.06218809980806142
17,0.06065259117082534
18,0.061420345489443376
19,0.061036468330134354
20,0.060460652591170824
21,0.061420345489443376
22,0.060844529750479846
23,0.06161228406909789
24,0.0600767754318618
25,0.05969289827255278
26,0.060844529750479846
27,0.06238003838771593
28,0.05969289827255278
29,0.05969289827255278
30,0.06333973128598848
31,0.061036468330134354
32,0.061036468330134354
33,0.06161228406909789
34,0.060844529750479846
35,0.05854126679462572
36,0.05969289827255278
37,0.0600767754318618
38,0.059309021113243765
39,0.05892514395393474
40,0.059884836852207295
41,0.05892514395393474
42,0.05911708253358925
43,0.05873320537428023
44,0.05873320537428023
45,0.05873320537428023
46,0.05854126679462572
47,0.0581573896353167
48,0.05873320537428023
49,0.059309021113243765
50,0.059309021113243765
51,0.059309021113243765
52,0.059309021113243765
53,0.059309021113243765
54,0.059309021113243765
55,0.059309021113243765
56,0.059309021113243765
57,0.059309021113243765
58,0.059309021113243765
59,0.059309021113243765
60,0.059309021113243765
61,0.059309021113243765
62,0.059309021113243765
63,0.059309021113243765
64,0.059309021113243765
65,0.059309021113243765
66,0.059309021113243765
67,0.059309021113243765
68,0.059309021113243765
69,0.059309021113243765
70,0.059309021113243765
71,0.059309021113243765
72,0.059309021113243765
73,0.059309021113243765
74,0.059309021113243765
75,0.059309021113243765
76,0.059309021113243765
77,0.059309021113243765
78,0.059309021113243765
79,0.059309021113243765
80,0.059309021113243765
81,0.059309021113243765
82,0.059309021113243765
83,0.059309021113243765
84,0.059309021113243765
85,0.059309021113243765
86,0.059309021113243765
87,0.059309021113243765
88,0.059309021113243765
89,0.059309021113243765
90,0.059309021113243765
91,0.059309021113243765
92,0.059309021113243765
93,0.059309021113243765
94,0.059309021113243765
95,0.059309021113243765
96,0.059309021113243765
97,0.059309021113243765
98,0.059309021113243765
99,0.059309021113243765
100,0.059309021113243765
